Date,Ticker,Market Cap,P/E Ratio,Price to Book,ROE (%)
2026-03-17,TLKM.JK,302139775647744,13.91,2.2,18.31
2026-03-18,BBCA.JK,833413305073664,14.51,2.96,21.14
2026-03-18,BMRI.JK,441466669236224,7.84,1.5,19.14
2026-03-18,BBNI.JK,163557337464832,8.18,0.95,11.73
2026-03-18,GOTO.JK,54162519752704,N/A,1.7,-5.08
2026-03-18,TLKM.JK,302139775647744,13.91,2.2,18.31
2026-03-19,BBCA.JK,833413305073664,14.51,2.96,21.14
2026-03-19,BMRI.JK,441466669236224,7.84,1.5,19.14
2026-03-19,BBNI.JK,163557337464832,8.18,0.95,11.73
2026-03-19,GOTO.JK,54162519752704,N/A,1.7,-5.08
2026-03-19,TLKM.JK,302139775647744,13.91,2.2,18.31
2026-03-20,BBCA.JK,833413305073664,14.51,2.96,21.14
2026-03-20,BMRI.JK,441466669236224,7.84,1.5,19.14
2026-03-20,BBNI.JK,163557337464832,8.18,0.95,11.73
2026-03-20,GOTO.JK,54162519752704,N/A,1.7,-5.08
2026-03-20,TLKM.JK,302139775647744,13.91,2.2,18.31
2026-03-23,BBCA.JK,833413305073664,14.51,2.96,21.14
2026-03-23,BMRI.JK,441466669236224,7.84,1.5,19.14
2026-03-23,BBNI.JK,163557337464832,8.18,0.95,11.73
2026-03-23,GOTO.JK,54162519752704,N/A,1.7,-5.08
2026-03-23,TLKM.JK,302139775647744,13.91,2.2,18.31
2026-03-24,BBCA.JK,833413305073664,14.51,2.96,21.14
2026-03-24,BMRI.JK,441466669236224,7.84,1.5,19.14
2026-03-24,BBNI.JK,163557337464832,8.18,0.95,11.73
2026-03-24,GOTO.JK,54162519752704,N/A,1.7,-5.08
2026-03-24,TLKM.JK,302139775647744,13.91,2.2,18.31
2026-03-25,BBCA.JK,848789891973120,14.78,3.02,21.14
2026-03-25,BMRI.JK,463866668515328,8.24,1.58,19.14
2026-03-25,BBNI.JK,150517464432640,7.52,0.88,11.73
2026-03-25,GOTO.JK,56286540464128,N/A,1.77,-5.08
2026-03-25,TLKM.JK,326905328828416,15.05,2.38,18.31
2026-03-26,BBCA.JK,845714561171456,14.72,3.0,21.14
2026-03-26,BMRI.JK,451733318795264,8.02,1.54,19.14
2026-03-26,BBNI.JK,149027194667008,7.45,0.87,11.73
2026-03-26,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-03-26,TLKM.JK,314027238490112,14.47,2.29,18.31
